iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
0,10.8657,0.3277,0.4988,0.246054,0.0014,0.8286,0.9996,0.3085,0.015457,0.125483,0.859061,0.966764,0.028209,0.005027
10,17.8322,0.5166,0.2855,0.038335,0.0015,0.7428,0.9996,0.3358,0.015543,0.125480,0.858977,0.973909,0.020524,0.005568
20,20.6350,0.5438,0.2247,0.019398,0.0016,0.6898,0.9996,0.3512,0.015566,0.125480,0.858954,0.971921,0.021816,0.006262
30,21.9298,0.5640,0.1853,0.015324,0.0015,0.7585,0.9996,0.3635,0.015693,0.125467,0.858840,0.969813,0.024168,0.006019
40,22.7413,0.5936,0.1612,0.013262,0.0014,0.8061,0.9996,0.3762,0.015699,0.125466,0.858835,0.969604,0.024555,0.005841
50,23.1075,0.5962,0.1533,0.012286,0.0014,0.8041,0.9996,0.3820,0.015653,0.125469,0.858879,0.970158,0.024167,0.005675
60,23.2878,0.6038,0.1519,0.011879,0.0014,0.8349,0.9996,0.3821,0.015652,0.125466,0.858882,0.970179,0.023989,0.005832
70,23.6044,0.6105,0.1465,0.011563,0.0014,0.8526,0.9996,0.3825,0.015667,0.125464,0.858870,0.970073,0.024041,0.005886
80,23.9999,0.6169,0.1424,0.011381,0.0014,0.8187,0.9996,0.3821,0.015706,0.125458,0.858836,0.970129,0.024012,0.005859
90,24.2434,0.6218,0.1386,0.011272,0.0013,0.8776,0.9996,0.3807,0.015751,0.125451,0.858798,0.969950,0.024147,0.005903
100,24.4487,0.6251,0.1375,0.011207,0.0014,0.8593,0.9996,0.3792,0.015805,0.125444,0.858751,0.969601,0.024414,0.005984
110,24.5817,0.6284,0.1364,0.011169,0.0013,0.8671,0.9996,0.3772,0.015874,0.125435,0.858691,0.969544,0.024474,0.005982
120,24.6894,0.6315,0.1352,0.011137,0.0013,0.8793,0.9996,0.3757,0.015959,0.125425,0.858616,0.969502,0.024513,0.005985
130,24.7799,0.6338,0.1341,0.011113,0.0014,0.8652,0.9996,0.3743,0.016053,0.125414,0.858534,0.969472,0.024547,0.005982
140,24.8632,0.6363,0.1337,0.011093,0.0014,0.8164,0.9996,0.3731,0.016157,0.125401,0.858442,0.969522,0.024511,0.005966
150,24.9380,0.6387,0.1331,0.011076,0.0014,0.8133,0.9996,0.3713,0.016276,0.125388,0.858336,0.969519,0.024510,0.005971
160,25.0004,0.6407,0.1321,0.011062,0.0014,0.8239,0.9996,0.3689,0.016411,0.125372,0.858217,0.969497,0.024531,0.005971
170,25.0589,0.6426,0.1317,0.011050,0.0013,0.8775,0.9996,0.3669,0.016558,0.125355,0.858087,0.969515,0.024522,0.005963
180,25.1108,0.6442,0.1312,0.011039,0.0014,0.8353,0.9996,0.3658,0.016718,0.125336,0.857946,0.969525,0.024517,0.005958
190,25.1556,0.6457,0.1308,0.011030,0.0015,0.7785,0.9996,0.3654,0.016890,0.125316,0.857794,0.969537,0.024513,0.005950
200,25.1950,0.6469,0.1304,0.011022,0.0014,0.8278,0.9996,0.3655,0.017074,0.125295,0.857631,0.969553,0.024504,0.005942
210,25.2274,0.6480,0.1302,0.011014,0.0014,0.8313,0.9996,0.3660,0.017268,0.125273,0.857458,0.969570,0.024495,0.005935
220,25.2558,0.6490,0.1301,0.011008,0.0014,0.8264,0.9996,0.3672,0.017474,0.125250,0.857276,0.969585,0.024488,0.005927
230,25.2788,0.6497,0.1295,0.011002,0.0015,0.7736,0.9996,0.3686,0.017690,0.125226,0.857084,0.969585,0.024492,0.005924
240,25.2969,0.6503,0.1291,0.010996,0.0015,0.7711,0.9996,0.3701,0.017916,0.125201,0.856883,0.969579,0.024499,0.005922
250,25.3125,0.6508,0.1287,0.010992,0.0015,0.7909,0.9996,0.3714,0.018151,0.125176,0.856673,0.969572,0.024506,0.005921
260,25.3240,0.6512,0.1284,0.010987,0.0015,0.7342,0.9996,0.3732,0.018395,0.125150,0.856455,0.969559,0.024518,0.005923
270,25.3323,0.6513,0.1278,0.010983,0.0015,0.7415,0.9996,0.3759,0.018647,0.125124,0.856230,0.969538,0.024533,0.005928
280,25.3377,0.6513,0.1275,0.010980,0.0015,0.7776,0.9996,0.3800,0.018906,0.125097,0.855997,0.969512,0.024554,0.005935
290,25.3410,0.6511,0.1271,0.010976,0.0015,0.7525,0.9996,0.3835,0.019172,0.125070,0.855758,0.969490,0.024569,0.005941
300,25.3405,0.6509,0.1268,0.010973,0.0016,0.7281,0.9996,0.3868,0.019443,0.125043,0.855515,0.969453,0.024594,0.005952
310,25.3389,0.6505,0.1265,0.010970,0.0015,0.7761,0.9996,0.3917,0.019719,0.125015,0.855266,0.969423,0.024613,0.005964
320,25.3372,0.6500,0.1260,0.010968,0.0015,0.7719,0.9996,0.3965,0.019998,0.124988,0.855014,0.969386,0.024637,0.005978
330,25.3343,0.6493,0.1255,0.010965,0.0015,0.7604,0.9996,0.4022,0.020281,0.124961,0.854758,0.969359,0.024648,0.005993
340,25.3325,0.6486,0.1250,0.010962,0.0015,0.7722,0.9996,0.4084,0.020565,0.124934,0.854500,0.969356,0.024641,0.006003
350,25.3310,0.6479,0.1245,0.010960,0.0015,0.7623,0.9996,0.4138,0.020851,0.124908,0.854240,0.969369,0.024620,0.006011
