iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
0,11.2135,0.3631,0.5441,0.209149,0.0012,0.9434,0.9998,0.9578,0.015253,0.126853,0.857894,0.972437,0.020787,0.006776
10,14.9496,0.4066,0.3337,0.041821,0.0013,0.8833,0.9998,0.9598,0.015455,0.126822,0.857723,0.973114,0.020891,0.005995
20,15.7242,0.4481,0.2755,0.031725,0.0014,0.8081,0.9998,0.9629,0.015676,0.126807,0.857517,0.972901,0.020926,0.006173
30,16.2145,0.4568,0.2658,0.024821,0.0013,0.9044,0.9998,0.9701,0.015841,0.126791,0.857368,0.974535,0.019918,0.005547
40,16.9647,0.4606,0.2481,0.021462,0.0013,0.8758,0.9998,0.9738,0.016074,0.126761,0.857165,0.973755,0.020529,0.005717
50,17.5131,0.4615,0.2401,0.018545,0.0013,0.8903,0.9998,0.9734,0.016287,0.126737,0.856976,0.971248,0.022369,0.006383
60,18.5301,0.4765,0.2220,0.016284,0.0014,0.8565,0.9998,0.9703,0.016426,0.126724,0.856850,0.971071,0.022399,0.006530
70,19.2287,0.4925,0.2044,0.014693,0.0014,0.8522,0.9998,0.9661,0.016496,0.126719,0.856786,0.969668,0.023539,0.006793
80,20.1184,0.5127,0.1876,0.013585,0.0015,0.7995,0.9998,0.9634,0.016508,0.126720,0.856772,0.969291,0.023969,0.006740
90,20.8589,0.5317,0.1745,0.012874,0.0015,0.7740,0.9998,0.9612,0.016513,0.126721,0.856766,0.969859,0.023697,0.006444
100,21.4971,0.5554,0.1656,0.012352,0.0015,0.7606,0.9998,0.9609,0.016526,0.126720,0.856754,0.970698,0.022985,0.006317
110,22.0020,0.5737,0.1591,0.012023,0.0015,0.7945,0.9998,0.9611,0.016547,0.126716,0.856736,0.970760,0.022969,0.006271
120,22.3934,0.5862,0.1577,0.011832,0.0014,0.8541,0.9998,0.9620,0.016582,0.126712,0.856706,0.971174,0.022683,0.006143
130,22.6652,0.5932,0.1572,0.011707,0.0014,0.8469,0.9998,0.9630,0.016621,0.126709,0.856670,0.971586,0.022353,0.006062
140,22.8732,0.5985,0.1573,0.011619,0.0014,0.8306,0.9998,0.9634,0.016659,0.126706,0.856635,0.971865,0.022140,0.005996
150,23.0485,0.6028,0.1566,0.011552,0.0015,0.8016,0.9998,0.9630,0.016707,0.126701,0.856591,0.972055,0.021999,0.005946
160,23.1821,0.6059,0.1558,0.011501,0.0014,0.8310,0.9998,0.9628,0.016772,0.126695,0.856533,0.972140,0.021940,0.005920
170,23.2879,0.6084,0.1543,0.011462,0.0015,0.7777,0.9998,0.9625,0.016853,0.126687,0.856460,0.972189,0.021910,0.005901
180,23.3769,0.6107,0.1530,0.011430,0.0015,0.7741,0.9998,0.9626,0.016947,0.126678,0.856375,0.972275,0.021842,0.005883
190,23.4525,0.6129,0.1523,0.011404,0.0015,0.7402,0.9998,0.9638,0.017053,0.126668,0.856279,0.972370,0.021766,0.005864
200,23.5135,0.6146,0.1513,0.011382,0.0016,0.7147,0.9998,0.9658,0.017167,0.126657,0.856175,0.972443,0.021707,0.005850
210,23.5644,0.6161,0.1508,0.011364,0.0015,0.7663,0.9998,0.9676,0.017289,0.126646,0.856064,0.972532,0.021635,0.005833
220,23.6051,0.6173,0.1504,0.011348,0.0015,0.7689,0.9998,0.9692,0.017418,0.126634,0.855947,0.972626,0.021559,0.005815
230,23.6351,0.6181,0.1507,0.011334,0.0015,0.8012,0.9998,0.9707,0.017553,0.126622,0.855825,0.972715,0.021486,0.005799
240,23.6488,0.6184,0.1514,0.011322,0.0014,0.8168,0.9998,0.9721,0.017692,0.126609,0.855699,0.972801,0.021418,0.005781
250,23.6470,0.6178,0.1522,0.011312,0.0015,0.7673,0.9998,0.9734,0.017829,0.126597,0.855574,0.972808,0.021419,0.005773
260,23.6733,0.6185,0.1519,0.011301,0.0015,0.7961,0.9998,0.9744,0.017965,0.126584,0.855451,0.972839,0.021382,0.005779
270,23.6726,0.6183,0.1524,0.011292,0.0015,0.7416,0.9998,0.9753,0.018103,0.126572,0.855325,0.972883,0.021349,0.005768
280,23.6807,0.6184,0.1525,0.011283,0.0014,0.8090,0.9998,0.9762,0.018245,0.126560,0.855196,0.972957,0.021285,0.005758
290,23.6831,0.6182,0.1533,0.011275,0.0015,0.7950,0.9998,0.9777,0.018390,0.126548,0.855062,0.972990,0.021251,0.005758
300,23.6833,0.6180,0.1535,0.011267,0.0014,0.8074,0.9998,0.9790,0.018541,0.126536,0.854924,0.973046,0.021199,0.005755
310,23.6858,0.6178,0.1538,0.011260,0.0014,0.8366,0.9998,0.9801,0.018696,0.126523,0.854781,0.973103,0.021147,0.005750
320,23.6907,0.6179,0.1538,0.011253,0.0014,0.8558,0.9998,0.9806,0.018856,0.126511,0.854633,0.973154,0.021098,0.005748
330,23.6987,0.6180,0.1540,0.011246,0.0014,0.8465,0.9998,0.9809,0.019021,0.126499,0.854481,0.973216,0.021041,0.005743
340,23.7086,0.6182,0.1543,0.011240,0.0014,0.8572,0.9998,0.9811,0.019191,0.126486,0.854323,0.973278,0.020985,0.005737
350,23.7212,0.6185,0.1541,0.011233,0.0013,0.8691,0.9998,0.9808,0.019368,0.126473,0.854159,0.973341,0.020928,0.005731
360,23.7373,0.6189,0.1543,0.011227,0.0014,0.8336,0.9998,0.9802,0.019549,0.126460,0.853991,0.973404,0.020870,0.005726
370,23.7529,0.6191,0.1544,0.011220,0.0014,0.8576,0.9998,0.9801,0.019736,0.126447,0.853817,0.973465,0.020814,0.005722
380,23.7678,0.6193,0.1541,0.011214,0.0014,0.8495,0.9998,0.9783,0.019926,0.126435,0.853639,0.973515,0.020764,0.005721
390,23.7826,0.6195,0.1539,0.011209,0.0014,0.8462,0.9998,0.9739,0.020121,0.126423,0.853456,0.973558,0.020719,0.005723
400,23.7927,0.6195,0.1536,0.011204,0.0014,0.8495,0.9998,0.9660,0.020320,0.126411,0.853269,0.973593,0.020679,0.005727
410,23.8002,0.6193,0.1534,0.011199,0.0015,0.8002,0.9998,0.9517,0.020523,0.126399,0.853078,0.973620,0.020646,0.005734
420,23.8051,0.6189,0.1530,0.011195,0.0015,0.8015,0.9998,0.9304,0.020729,0.126388,0.852883,0.973639,0.020618,0.005743
430,23.8102,0.6184,0.1524,0.011189,0.0015,0.8003,0.9998,0.9096,0.020938,0.126378,0.852683,0.973658,0.020587,0.005755
440,23.8421,0.6178,0.1517,0.011164,0.0015,0.8001,0.9998,0.8936,0.021153,0.126371,0.852476,0.973722,0.020521,0.005757
450,23.9447,0.6174,0.1518,0.011120,0.0015,0.7652,0.9998,0.8876,0.021350,0.126369,0.852281,0.973649,0.020547,0.005803
460,24.1527,0.6208,0.1480,0.011083,0.0015,0.7527,0.9998,0.8855,0.021502,0.126370,0.852129,0.973670,0.020487,0.005843
470,24.3543,0.6234,0.1465,0.011050,0.0016,0.7178,0.9998,0.8834,0.021649,0.126371,0.851980,0.973638,0.020491,0.005871
480,24.4843,0.6250,0.1460,0.011037,0.0015,0.7433,0.9998,0.8828,0.021807,0.126373,0.851820,0.973504,0.020565,0.005931
490,24.5874,0.6264,0.1448,0.011027,0.0015,0.7456,0.9998,0.8848,0.021978,0.126375,0.851646,0.973417,0.020598,0.005985
500,24.6702,0.6274,0.1438,0.011018,0.0015,0.7490,0.9998,0.8861,0.022161,0.126378,0.851461,0.973345,0.020616,0.006039
510,24.7325,0.6277,0.1424,0.011011,0.0015,0.7906,0.9998,0.8857,0.022352,0.126381,0.851268,0.973305,0.020612,0.006083
520,24.7989,0.6286,0.1414,0.011004,0.0014,0.8203,0.9998,0.8828,0.022543,0.126384,0.851073,0.973265,0.020607,0.006128
530,24.8627,0.6292,0.1408,0.010998,0.0013,0.8814,0.9998,0.8800,0.022737,0.126387,0.850876,0.973214,0.020611,0.006175
540,24.9154,0.6296,0.1406,0.010993,0.0013,0.8847,0.9998,0.8764,0.022934,0.126392,0.850674,0.973135,0.020639,0.006226
550,24.9591,0.6296,0.1406,0.010988,0.0013,0.8723,0.9998,0.8721,0.023135,0.126398,0.850466,0.973046,0.020676,0.006277
