iteration,psnr,ssim,lpips,loss
0,11.2135,0.3631,0.5441,0.209149
10,14.9496,0.4066,0.3337,0.041821
20,15.7242,0.4481,0.2755,0.031725
30,16.2145,0.4568,0.2658,0.024821
40,16.9647,0.4606,0.2481,0.021462
50,17.5131,0.4615,0.2401,0.018545
60,18.5301,0.4765,0.2220,0.016284
70,19.2287,0.4925,0.2044,0.014693
80,20.1184,0.5127,0.1876,0.013585
90,20.8589,0.5317,0.1745,0.012874
100,21.4971,0.5554,0.1656,0.012352
110,22.0020,0.5737,0.1591,0.012023
120,22.3934,0.5862,0.1577,0.011832
130,22.6652,0.5932,0.1572,0.011707
140,22.8732,0.5985,0.1573,0.011619
150,23.0485,0.6028,0.1566,0.011552
160,23.1821,0.6059,0.1558,0.011501
170,23.2879,0.6084,0.1543,0.011462
180,23.3769,0.6107,0.1530,0.011430
190,23.4525,0.6129,0.1523,0.011404
200,23.5135,0.6146,0.1513,0.011382
210,23.5644,0.6161,0.1508,0.011364
220,23.6051,0.6173,0.1504,0.011348
230,23.6351,0.6181,0.1507,0.011334
240,23.6488,0.6184,0.1514,0.011322
250,23.6470,0.6178,0.1522,0.011312
260,23.6733,0.6185,0.1519,0.011301
270,23.6726,0.6183,0.1524,0.011292
280,23.6807,0.6184,0.1525,0.011283
290,23.6831,0.6182,0.1533,0.011275
300,23.6833,0.6180,0.1535,0.011267
310,23.6858,0.6178,0.1538,0.011260
320,23.6907,0.6179,0.1538,0.011253
330,23.6987,0.6180,0.1540,0.011246
340,23.7086,0.6182,0.1543,0.011240
350,23.7212,0.6185,0.1541,0.011233
360,23.7373,0.6189,0.1543,0.011227
370,23.7529,0.6191,0.1544,0.011220
380,23.7678,0.6193,0.1541,0.011214
390,23.7826,0.6195,0.1539,0.011209
400,23.7927,0.6195,0.1536,0.011204
410,23.8002,0.6193,0.1534,0.011199
420,23.8051,0.6189,0.1530,0.011195
430,23.8102,0.6184,0.1524,0.011189
440,23.8421,0.6178,0.1517,0.011164
450,23.9447,0.6174,0.1518,0.011120
460,24.1527,0.6208,0.1480,0.011083
470,24.3543,0.6234,0.1465,0.011050
480,24.4843,0.6250,0.1460,0.011037
490,24.5874,0.6264,0.1448,0.011027
500,24.6702,0.6274,0.1438,0.011018
510,24.7325,0.6277,0.1424,0.011011
520,24.7989,0.6286,0.1414,0.011004
530,24.8627,0.6292,0.1408,0.010998
540,24.9154,0.6296,0.1406,0.010993
550,24.9591,0.6296,0.1406,0.010988
560,24.9956,0.6294,0.1404,0.010984
570,25.0275,0.6293,0.1399,0.010980
580,25.0554,0.6293,0.1396,0.010976
590,25.0794,0.6291,0.1394,0.010973
600,25.0985,0.6286,0.1391,0.010970
610,25.1132,0.6279,0.1391,0.010967
620,25.1238,0.6272,0.1392,0.010964
630,25.1307,0.6263,0.1394,0.010961
640,25.1355,0.6253,0.1396,0.010957
650,25.1379,0.6243,0.1401,0.010954
660,25.1367,0.6230,0.1405,0.010951
670,25.1337,0.6218,0.1412,0.010947
680,25.1306,0.6204,0.1418,0.010944
690,25.1257,0.6190,0.1428,0.010940
700,25.1213,0.6177,0.1436,0.010935
710,25.1156,0.6163,0.1448,0.010931
720,25.1116,0.6151,0.1457,0.010925
730,25.1084,0.6137,0.1469,0.010920
740,25.1051,0.6125,0.1482,0.010914
750,25.1044,0.6114,0.1495,0.010907
760,25.1057,0.6104,0.1510,0.010899
770,25.1111,0.6097,0.1530,0.010890
780,25.1170,0.6090,0.1551,0.010880
790,25.1271,0.6084,0.1570,0.010869
800,25.1402,0.6081,0.1594,0.010856
810,25.1548,0.6080,0.1625,0.010842
820,25.1730,0.6082,0.1658,0.010826
830,25.1940,0.6086,0.1698,0.010808
840,25.2155,0.6093,0.1744,0.010788
850,25.2400,0.6103,0.1791,0.010767
860,25.2619,0.6117,0.1847,0.010744
870,25.2898,0.6134,0.1914,0.010719
880,25.3129,0.6153,0.1981,0.010694
890,25.3387,0.6176,0.2057,0.010669
900,25.3634,0.6201,0.2137,0.010644
910,25.3807,0.6227,0.2218,0.010621
920,25.3937,0.6254,0.2296,0.010600
930,25.3987,0.6278,0.2367,0.010581
940,25.3963,0.6301,0.2440,0.010566
950,25.3815,0.6321,0.2509,0.010553
960,25.3570,0.6339,0.2585,0.010544
970,25.3203,0.6353,0.2658,0.010539
980,25.2739,0.6363,0.2725,0.010538
990,25.2293,0.6373,0.2792,0.010539
