iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p
0,10.6470,0.3300,0.5018,0.235355,0.0012,0.9490,0.9998,0.9586
10,14.5060,0.3918,0.3206,0.043232,0.0013,0.8904,0.9998,0.9590
20,15.6603,0.4234,0.2651,0.033766,0.0015,0.7871,0.9998,0.9586
30,15.8037,0.4425,0.2659,0.025939,0.0013,0.8890,0.9998,0.9615
40,16.6602,0.4447,0.2349,0.022159,0.0014,0.8459,0.9998,0.9646
50,16.9798,0.4361,0.2418,0.019419,0.0015,0.7936,0.9998,0.9657
60,18.0265,0.4507,0.2164,0.016832,0.0013,0.8894,0.9998,0.9652
70,18.6212,0.4651,0.2013,0.015228,0.0014,0.8145,0.9998,0.9629
80,19.4818,0.4821,0.1797,0.013986,0.0014,0.8056,0.9998,0.9609
90,20.2828,0.5039,0.1644,0.013149,0.0015,0.7965,0.9998,0.9617
100,20.9856,0.5299,0.1529,0.012536,0.0016,0.6839,0.9998,0.9612
110,21.5663,0.5524,0.1446,0.012129,0.0016,0.6946,0.9998,0.9616
120,21.9859,0.5673,0.1427,0.011898,0.0014,0.8200,0.9998,0.9620
130,22.2850,0.5754,0.1414,0.011753,0.0015,0.7577,0.9998,0.9628
140,22.5301,0.5823,0.1400,0.011653,0.0015,0.7781,0.9998,0.9633
150,22.7439,0.5875,0.1387,0.011577,0.0015,0.7815,0.9998,0.9634
160,22.9058,0.5913,0.1377,0.011521,0.0015,0.7887,0.9998,0.9642
170,23.0276,0.5946,0.1362,0.011478,0.0015,0.7823,0.9998,0.9653
180,23.1327,0.5977,0.1347,0.011443,0.0014,0.8133,0.9998,0.9666
190,23.2244,0.6005,0.1335,0.011414,0.0015,0.7971,0.9998,0.9674
200,23.3007,0.6027,0.1320,0.011391,0.0014,0.8653,0.9998,0.9681
210,23.3661,0.6048,0.1309,0.011371,0.0014,0.8573,0.9998,0.9686
220,23.4219,0.6065,0.1302,0.011354,0.0015,0.7987,0.9998,0.9690
230,23.4662,0.6078,0.1298,0.011339,0.0015,0.7586,0.9998,0.9694
240,23.5024,0.6088,0.1295,0.011327,0.0015,0.7722,0.9998,0.9707
250,23.5295,0.6095,0.1295,0.011316,0.0015,0.7966,0.9998,0.9717
260,23.5474,0.6099,0.1300,0.011306,0.0015,0.7942,0.9998,0.9729
270,23.5460,0.6095,0.1310,0.011297,0.0015,0.7543,0.9998,0.9747
280,23.5204,0.6080,0.1323,0.011290,0.0015,0.7491,0.9998,0.9763
290,23.5432,0.6083,0.1324,0.011281,0.0015,0.7533,0.9998,0.9778
300,23.5498,0.6086,0.1323,0.011273,0.0015,0.7890,0.9998,0.9785
310,23.5493,0.6084,0.1326,0.011265,0.0015,0.7738,0.9998,0.9788
320,23.5501,0.6080,0.1333,0.011259,0.0015,0.7880,0.9998,0.9793
330,23.5584,0.6080,0.1337,0.011252,0.0014,0.8297,0.9998,0.9795
