iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
0,0.246054,31.239809,1.847148,1.201785,0.995049,0.003479,0.001473
1,0.186273,26.705883,1.604330,1.044883,0.994887,0.003590,0.001523
2,0.143379,22.920359,1.446217,0.944191,0.994354,0.003959,0.001687
3,0.104348,18.959442,1.252644,0.819240,0.993806,0.004338,0.001856
4,0.072623,15.152103,1.052662,0.685850,0.993172,0.004794,0.002035
5,0.050850,11.884710,0.842742,0.550711,0.992876,0.004992,0.002132
6,0.040277,10.031386,0.646905,0.432732,0.994016,0.004134,0.001850
7,0.036818,9.456436,0.518145,0.393517,0.995288,0.002988,0.001724
8,0.037122,9.624557,0.453733,0.456593,0.995547,0.002213,0.002241
9,0.037961,9.849584,0.465507,0.636357,0.993633,0.002219,0.004148
10,0.038335,9.850107,0.580174,0.923880,0.987882,0.003427,0.008691
11,0.037677,9.513928,0.746208,1.166034,0.979266,0.006024,0.014710
12,0.035916,8.904452,0.871225,1.302377,0.969965,0.009285,0.020750
13,0.033424,8.222527,0.872909,1.300959,0.964968,0.010875,0.024156
14,0.030630,7.509698,0.841816,1.243075,0.961570,0.012083,0.026347
15,0.027994,6.814426,0.819375,1.206194,0.956216,0.013825,0.029959
16,0.025799,6.286154,0.763782,1.098256,0.956676,0.014123,0.029201
17,0.023997,5.913332,0.667847,0.980434,0.961312,0.012262,0.026426
18,0.022262,5.521866,0.585633,0.866262,0.965382,0.010859,0.023759
19,0.020692,5.123344,0.522285,0.725672,0.970446,0.010085,0.019469
20,0.019398,4.796746,0.431563,0.597820,0.976918,0.007908,0.015174
21,0.018343,4.509125,0.366354,0.505598,0.981187,0.006477,0.012336
22,0.017620,4.317412,0.319094,0.441165,0.984345,0.005377,0.010278
23,0.017263,4.258152,0.285344,0.388029,0.987367,0.004434,0.008199
24,0.017154,4.275881,0.267323,0.363000,0.989006,0.003866,0.007128
25,0.017119,4.302177,0.256843,0.350598,0.989898,0.003528,0.006574
26,0.017018,4.281227,0.250077,0.343726,0.990238,0.003379,0.006383
27,0.016785,4.184059,0.258385,0.341225,0.989644,0.003774,0.006582
28,0.016403,4.006091,0.258463,0.333880,0.989013,0.004117,0.006870
29,0.015894,3.751285,0.255907,0.324568,0.988006,0.004598,0.007396
30,0.015324,3.443776,0.252584,0.316431,0.986366,0.005306,0.008328
31,0.014792,3.137263,0.242654,0.307391,0.984657,0.005891,0.009453
32,0.014419,2.920621,0.238224,0.305525,0.982708,0.006538,0.010754
33,0.014256,2.848070,0.238503,0.301587,0.982100,0.006887,0.011012
34,0.014253,2.892188,0.237301,0.299676,0.982832,0.006616,0.010552
35,0.014283,2.954905,0.238548,0.297538,0.983617,0.006410,0.009973
36,0.014229,2.953542,0.232955,0.296814,0.983942,0.006121,0.009937
37,0.014044,2.855155,0.227881,0.291041,0.983515,0.006265,0.010220
38,0.013773,2.683527,0.228905,0.288378,0.981524,0.007142,0.011335
39,0.013493,2.491700,0.224357,0.286323,0.979133,0.007938,0.012929
40,0.013262,2.327868,0.218143,0.289167,0.976360,0.008574,0.015066
41,0.013096,2.213384,0.216741,0.294525,0.973430,0.009334,0.017236
42,0.012984,2.149301,0.214477,0.295058,0.972002,0.009679,0.018318
43,0.012899,2.110386,0.206186,0.290143,0.972340,0.009281,0.018379
44,0.012825,2.080256,0.198711,0.272369,0.974405,0.008891,0.016704
45,0.012746,2.042727,0.186096,0.262552,0.975782,0.008099,0.016120
46,0.012658,1.995904,0.176434,0.250274,0.977004,0.007635,0.015362
47,0.012561,1.936130,0.170744,0.237290,0.977710,0.007604,0.014686
48,0.012464,1.873066,0.162782,0.221185,0.978955,0.007394,0.013651
49,0.012370,1.809093,0.155797,0.204522,0.980203,0.007270,0.012528
50,0.012286,1.750608,0.147815,0.188396,0.981633,0.006999,0.011369
51,0.012206,1.689651,0.138713,0.174023,0.982948,0.006625,0.010427
52,0.012128,1.624690,0.129771,0.160693,0.984095,0.006278,0.009627
53,0.012055,1.553133,0.123458,0.149319,0.984677,0.006222,0.009101
54,0.011991,1.485990,0.116971,0.139995,0.985152,0.006104,0.008744
55,0.011947,1.439468,0.112060,0.131500,0.985799,0.005974,0.008227
56,0.011924,1.421177,0.108934,0.124644,0.986614,0.005797,0.007589
57,0.011917,1.422487,0.105367,0.119286,0.987636,0.005419,0.006945
58,0.011914,1.427303,0.103187,0.114386,0.988485,0.005166,0.006349
59,0.011903,1.416964,0.101668,0.110747,0.988869,0.005091,0.006041
60,0.011879,1.386971,0.099903,0.106603,0.989026,0.005131,0.005843
61,0.011846,1.340485,0.097692,0.103360,0.988869,0.005252,0.005879
62,0.011812,1.291858,0.095497,0.100500,0.988615,0.005402,0.005983
63,0.011781,1.252046,0.093238,0.097725,0.988496,0.005482,0.006022
64,0.011756,1.225249,0.091035,0.095120,0.988584,0.005457,0.005958
65,0.011733,1.206062,0.089143,0.092957,0.988725,0.005401,0.005874
66,0.011706,1.184640,0.087117,0.091102,0.988805,0.005347,0.005848
67,0.011675,1.155616,0.085345,0.089659,0.988656,0.005392,0.005951
68,0.011638,1.117601,0.083633,0.088550,0.988262,0.005534,0.006204
69,0.011600,1.074739,0.082415,0.087836,0.987596,0.005807,0.006597
70,0.011563,1.032188,0.081105,0.087437,0.986826,0.006093,0.007081
71,0.011531,0.995767,0.080192,0.087745,0.985950,0.006394,0.007656
72,0.011505,0.965917,0.080011,0.088412,0.984989,0.006758,0.008252
73,0.011482,0.942277,0.079615,0.089469,0.984102,0.007025,0.008872
74,0.011463,0.921101,0.079247,0.090213,0.983290,0.007278,0.009432
75,0.011445,0.900166,0.079333,0.091330,0.982259,0.007629,0.010111
76,0.011428,0.882108,0.078596,0.091153,0.981723,0.007794,0.010483
77,0.011414,0.865820,0.077987,0.091311,0.981128,0.007960,0.010912
78,0.011402,0.854101,0.077220,0.090521,0.980963,0.008018,0.011019
79,0.011391,0.844644,0.075920,0.089738,0.981001,0.007926,0.011073
80,0.011381,0.833955,0.074692,0.088367,0.981114,0.007870,0.011016
81,0.011368,0.818802,0.073434,0.086419,0.981178,0.007892,0.010930
82,0.011355,0.800472,0.072011,0.084301,0.981177,0.007941,0.010882
83,0.011342,0.780989,0.070520,0.082670,0.981010,0.007998,0.010992
84,0.011330,0.765665,0.069080,0.080939,0.981051,0.007986,0.010963
85,0.011319,0.755399,0.067673,0.079399,0.981283,0.007875,0.010841
86,0.011311,0.748220,0.066443,0.077944,0.981607,0.007741,0.010652
87,0.011302,0.741062,0.065200,0.076816,0.981850,0.007600,0.010550
