iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum
0,0.246054,0.999996,0.999996,65543.054688,0.015456714,0.12548271,0.8590606,0.001410,0.828562,0.004682,0.000533,-0.000406,0.005110
1,0.186273,0.999983,0.999996,65544.203125,0.0154468445,0.12548359,0.8590696,0.001496,0.770302,0.002287,0.000535,-0.000414,0.005107
2,0.143379,0.999965,0.999996,65545.484375,0.0154474275,0.12548359,0.859069,0.001548,0.732789,0.003825,0.000511,-0.000413,0.005111
3,0.104348,0.999941,0.999997,65546.328125,0.015454487,0.1254835,0.859062,0.001567,0.718886,0.003882,0.000536,-0.000406,0.005127
4,0.072623,0.999913,0.999997,65546.906250,0.015467399,0.12548278,0.8590498,0.001548,0.733438,0.002620,0.000558,-0.000394,0.005164
5,0.050850,0.999882,0.999997,65547.320312,0.0154841915,0.12548159,0.8590342,0.001575,0.713153,0.003409,0.000561,-0.000380,0.005244
6,0.040277,0.999851,0.999998,65547.585938,0.015502176,0.12548044,0.8590174,0.001576,0.712237,0.002820,0.000558,-0.000365,0.005341
7,0.036818,0.999819,0.999998,65547.710938,0.0155182965,0.12547964,0.85900205,0.001545,0.735637,0.003923,0.000544,-0.000352,0.005441
8,0.037122,0.999790,0.999998,65547.585938,0.015530714,0.1254793,0.85898995,0.001548,0.732860,0.005303,0.000548,-0.000342,0.005524
9,0.037961,0.999763,0.999998,65547.203125,0.015539025,0.12547933,0.8589816,0.001540,0.738882,0.005207,0.000535,-0.000337,0.005581
10,0.038335,0.999737,0.999999,65546.593750,0.0155434,0.12547971,0.8589769,0.001535,0.742821,0.003455,0.000530,-0.000334,0.005623
11,0.037677,0.999713,0.999999,65545.796875,0.015544485,0.12548018,0.8589753,0.001532,0.744816,0.002284,0.000509,-0.000333,0.005646
12,0.035916,0.999691,0.999999,65544.789062,0.015543292,0.12548071,0.85897595,0.001527,0.748711,0.006197,0.000505,-0.000333,0.005657
13,0.033424,0.999670,0.999999,65543.648438,0.015540983,0.12548125,0.8589778,0.001514,0.757899,0.003523,0.000510,-0.000333,0.005663
14,0.030630,0.999649,0.999999,65542.406250,0.015538742,0.12548168,0.8589796,0.001555,0.728025,0.002591,0.000509,-0.000333,0.005669
15,0.027994,0.999628,0.999999,65541.054688,0.015537649,0.12548192,0.8589804,0.001550,0.731340,0.003109,0.000516,-0.000330,0.005680
16,0.025799,0.999607,0.999999,65539.710938,0.015538506,0.12548195,0.8589795,0.001590,0.701913,0.003368,0.000523,-0.000326,0.005699
17,0.023997,0.999586,0.999999,65538.390625,0.015541781,0.12548174,0.8589765,0.001573,0.714620,0.002164,0.000521,-0.000319,0.005728
18,0.022262,0.999564,0.999999,65537.140625,0.015547612,0.12548128,0.8589711,0.001566,0.719832,0.004609,0.000525,-0.000310,0.005766
19,0.020692,0.999542,0.999999,65535.984375,0.015555863,0.12548058,0.85896355,0.001633,0.670430,0.003620,0.000523,-0.000299,0.005811
20,0.019398,0.999519,0.999999,65534.992188,0.0155661525,0.12547964,0.8589542,0.001607,0.689816,0.002713,0.000529,-0.000286,0.005869
21,0.018343,0.999496,0.999999,65534.140625,0.015577979,0.12547855,0.8589435,0.001595,0.698287,0.003275,0.000525,-0.000273,0.005937
22,0.017620,0.999474,0.999999,65533.421875,0.015590832,0.1254773,0.85893184,0.001594,0.699168,0.004026,0.000524,-0.000259,0.006009
23,0.017263,0.999451,1.000000,65532.859375,0.015604262,0.125476,0.85891974,0.001586,0.704840,0.002925,0.000530,-0.000245,0.006081
24,0.017154,0.999429,0.999999,65532.382812,0.015617911,0.12547465,0.85890746,0.001569,0.717946,0.003409,0.000539,-0.000230,0.006152
25,0.017119,0.999407,0.999999,65532.023438,0.015631532,0.1254733,0.8588952,0.001555,0.728147,0.002485,0.000517,-0.000217,0.006223
26,0.017018,0.999386,0.999999,65531.726562,0.015644945,0.12547198,0.8588831,0.001564,0.721771,0.003031,0.000546,-0.000204,0.006292
27,0.016785,0.999364,0.999999,65531.492188,0.015657997,0.1254707,0.8588713,0.001535,0.742408,0.004247,0.000543,-0.000191,0.006376
28,0.016403,0.999343,0.999999,65531.304688,0.015670512,0.12546946,0.85886,0.001548,0.733409,0.003062,0.000537,-0.000179,0.006459
29,0.015894,0.999323,1.000000,65531.164062,0.015682263,0.12546825,0.85884947,0.001545,0.735396,0.002753,0.000537,-0.000169,0.006539
30,0.015324,0.999302,0.999999,65531.015625,0.015692955,0.12546714,0.85883987,0.001513,0.758458,0.003934,0.000528,-0.000159,0.006611
31,0.014792,0.999282,0.999999,65530.921875,0.015702229,0.12546615,0.85883164,0.001565,0.720572,0.003684,0.000522,-0.000151,0.006675
32,0.014419,0.999263,0.999999,65530.867188,0.015709715,0.12546533,0.85882497,0.001523,0.751010,0.005511,0.000516,-0.000144,0.006726
33,0.014256,0.999245,1.000000,65530.835938,0.015715113,0.12546472,0.85882014,0.001507,0.762968,0.002985,0.000507,-0.000140,0.006762
34,0.014253,0.999228,1.000000,65530.812500,0.01571827,0.12546435,0.8588174,0.001507,0.762816,0.003902,0.000496,-0.000137,0.006780
35,0.014283,0.999212,0.999999,65530.828125,0.01571919,0.1254642,0.8588166,0.001489,0.775678,0.002826,0.000479,-0.000137,0.006779
36,0.014229,0.999197,0.999999,65530.843750,0.015718037,0.12546429,0.85881764,0.001468,0.790318,0.003202,0.000490,-0.000138,0.006761
37,0.014044,0.999182,1.000000,65530.859375,0.01571508,0.12546457,0.8588203,0.001458,0.796692,0.003859,0.000497,-0.000141,0.006728
38,0.013773,0.999169,1.000000,65530.835938,0.015710652,0.12546498,0.8588243,0.001465,0.791972,0.002884,0.000489,-0.000146,0.006683
39,0.013493,0.999156,1.000000,65530.796875,0.01570513,0.12546548,0.8588294,0.001444,0.806364,0.003035,0.000513,-0.000151,0.006629
40,0.013262,0.999143,1.000000,65530.703125,0.01569889,0.12546606,0.85883504,0.001444,0.806119,0.003112,0.000496,-0.000157,0.006577
41,0.013096,0.999131,1.000000,65530.554688,0.015692279,0.1254666,0.8588412,0.001412,0.827747,0.002270,0.000507,-0.000164,0.006523
42,0.012984,0.999119,1.000000,65530.382812,0.015685609,0.12546714,0.85884726,0.001435,0.812278,0.002230,0.000502,-0.000170,0.006468
43,0.012899,0.999106,1.000000,65530.164062,0.015679149,0.12546763,0.8588533,0.001461,0.794885,0.003346,0.000514,-0.000177,0.006415
44,0.012825,0.999093,0.999999,65529.921875,0.015673118,0.12546806,0.8588588,0.001465,0.792061,0.002812,0.000522,-0.000183,0.006365
45,0.012746,0.999081,1.000000,65529.695312,0.015667701,0.12546842,0.8588639,0.001468,0.790017,0.004168,0.000527,-0.000189,0.006319
46,0.012658,0.999068,1.000000,65529.468750,0.01566302,0.12546867,0.8588683,0.001447,0.804347,0.003643,0.000521,-0.000194,0.006279
47,0.012561,0.999054,1.000000,65529.250000,0.015659165,0.12546885,0.858872,0.001461,0.795152,0.002990,0.000513,-0.000198,0.006244
48,0.012464,0.999041,1.000000,65529.015625,0.01565615,0.12546887,0.858875,0.001456,0.798154,0.003174,0.000509,-0.000201,0.006215
49,0.012370,0.999028,1.000000,65528.812500,0.015653977,0.12546882,0.8588772,0.001455,0.798593,0.002964,0.000511,-0.000204,0.006192
50,0.012286,0.999014,1.000000,65528.593750,0.015652575,0.12546867,0.8588788,0.001447,0.804072,0.005934,0.000501,-0.000206,0.006175
51,0.012206,0.999000,1.000000,65528.351562,0.015651835,0.12546845,0.85887975,0.001482,0.780584,0.002939,0.000495,-0.000207,0.006163
52,0.012128,0.998986,1.000000,65528.117188,0.015651606,0.12546815,0.8588802,0.001445,0.805943,0.002431,0.000490,-0.000208,0.006155
53,0.012055,0.998972,1.000000,65527.867188,0.015651733,0.12546785,0.8588804,0.001374,0.851440,0.002605,0.000502,-0.000209,0.006150
54,0.011991,0.998958,1.000000,65527.609375,0.015652044,0.12546752,0.85888046,0.001369,0.854520,0.003140,0.000503,-0.000209,0.006147
55,0.011947,0.998945,1.000000,65527.343750,0.015652379,0.12546721,0.8588804,0.001384,0.845330,0.002535,0.000491,-0.000209,0.006144
56,0.011924,0.998931,1.000000,65527.093750,0.015652616,0.12546693,0.8588804,0.001362,0.858682,0.004514,0.000501,-0.000210,0.006140
57,0.011917,0.998918,1.000000,65526.851562,0.015652671,0.12546667,0.8588807,0.001359,0.860369,0.003082,0.000496,-0.000210,0.006135
58,0.011914,0.998905,1.000000,65526.609375,0.015652528,0.12546645,0.858881,0.001367,0.855469,0.003613,0.000501,-0.000210,0.006129
59,0.011903,0.998892,1.000000,65526.398438,0.015652226,0.1254663,0.8588815,0.001363,0.858233,0.004094,0.000510,-0.000211,0.006121
60,0.011879,0.998879,1.000000,65526.187500,0.01565186,0.12546617,0.85888195,0.001400,0.834939,0.005517,0.000506,-0.000212,0.006113
61,0.011846,0.998866,1.000000,65525.984375,0.015651554,0.12546605,0.8588824,0.001355,0.862661,0.004705,0.000500,-0.000212,0.006107
62,0.011812,0.998853,1.000000,65525.820312,0.015651444,0.12546593,0.85888267,0.001347,0.867196,0.003191,0.000510,-0.000213,0.006101
63,0.011781,0.998840,1.000000,65525.632812,0.015651662,0.1254658,0.85888255,0.001357,0.861649,0.002815,0.000514,-0.000212,0.006099
64,0.011756,0.998826,1.000000,65525.468750,0.015652305,0.12546562,0.8588821,0.001330,0.877103,0.001694,0.000507,-0.000212,0.006100
65,0.011733,0.998813,1.000000,65525.304688,0.015653444,0.1254654,0.8588812,0.001338,0.872365,0.002539,0.000508,-0.000211,0.006104
66,0.011706,0.998799,1.000000,65525.156250,0.015655117,0.12546514,0.85887975,0.001331,0.876603,0.003399,0.000505,-0.000209,0.006112
67,0.011675,0.998786,1.000000,65525.000000,0.015657308,0.12546481,0.8588779,0.001310,0.888279,0.004701,0.000494,-0.000206,0.006123
68,0.011638,0.998772,1.000000,65524.875000,0.015659982,0.12546445,0.8588756,0.001321,0.881874,0.003787,0.000491,-0.000204,0.006137
69,0.011600,0.998757,1.000000,65524.773438,0.015663086,0.12546404,0.8588729,0.001336,0.873633,0.003152,0.000476,-0.000200,0.006153
70,0.011563,0.998743,1.000000,65524.718750,0.01566653,0.12546358,0.85886985,0.001372,0.852612,0.003785,0.000475,-0.000197,0.006170
71,0.011531,0.998728,1.000000,65524.675781,0.01567023,0.12546311,0.8588667,0.001379,0.848515,0.003157,0.000453,-0.000193,0.006187
72,0.011505,0.998714,1.000000,65524.652344,0.015674101,0.12546259,0.8588633,0.001385,0.844270,0.003854,0.000465,-0.000189,0.006204
73,0.011482,0.998699,1.000000,65524.660156,0.015678076,0.12546204,0.85885984,0.001389,0.842251,0.003602,0.000447,-0.000186,0.006221
74,0.011463,0.998685,1.000000,65524.667969,0.015682103,0.1254615,0.85885644,0.001404,0.832288,0.002756,0.000438,-0.000182,0.006236
75,0.011445,0.998670,1.000000,65524.687500,0.015686134,0.12546091,0.8588529,0.001421,0.821389,0.004045,0.000437,-0.000178,0.006250
76,0.011428,0.998656,1.000000,65524.750000,0.01569016,0.12546031,0.8588495,0.001432,0.814227,0.003001,0.000431,-0.000174,0.006263
