iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum,psnr,ssim,lpips
0,0.246054,1.000000,1.000000,65543.046875,0.015456713,0.1254827,0.8590606,0.001410,0.828562,0.004682,0.000554,-0.000406,0.005110,10.865669,0.32773998,0.498782
1,0.186549,0.999996,0.999996,65544.226562,0.0154466275,0.1254836,0.85906976,0.001496,0.770263,0.002287,0.000540,-0.000414,0.005107,,,
2,0.143510,0.999985,0.999996,65545.523438,0.015446942,0.12548359,0.85906947,0.001550,0.731937,0.003825,0.000535,-0.000413,0.005111,,,
3,0.104518,0.999968,0.999996,65546.351562,0.015453694,0.12548353,0.85906273,0.001566,0.719715,0.003882,0.000537,-0.000407,0.005126,,,
4,0.072776,0.999946,0.999997,65546.921875,0.015466287,0.12548286,0.85905087,0.001552,0.730264,0.002620,0.000561,-0.000396,0.005162,,,
5,0.050984,0.999920,0.999997,65547.343750,0.01548276,0.12548168,0.8590356,0.001567,0.718959,0.003409,0.000548,-0.000382,0.005239,,,
6,0.040363,0.999893,0.999998,65547.617188,0.015500432,0.12548053,0.85901904,0.001575,0.712993,0.002820,0.000584,-0.000367,0.005336,,,
7,0.036825,0.999865,0.999998,65547.726562,0.015516242,0.12547976,0.85900396,0.001553,0.729728,0.003923,0.000581,-0.000354,0.005432,,,
8,0.037079,0.999839,0.999998,65547.609375,0.0155283455,0.1254794,0.8589923,0.001554,0.729038,0.005303,0.000540,-0.000345,0.005514,,,
9,0.037918,0.999814,0.999998,65547.242188,0.015536299,0.12547947,0.85898423,0.001542,0.737297,0.005207,0.000565,-0.000340,0.005571,,,
10,0.038302,0.999790,0.999999,65546.648438,0.015540291,0.12547982,0.8589799,0.001538,0.740361,0.003455,0.000559,-0.000337,0.005610,17.825323,0.5147211,0.281657
11,0.037666,0.999767,0.999999,65545.843750,0.0155409565,0.12548032,0.85897875,0.001532,0.744918,0.002284,0.000538,-0.000337,0.005632,,,
12,0.035922,0.999745,0.999999,65544.851562,0.015539291,0.1254809,0.85897976,0.001531,0.745249,0.006197,0.000550,-0.000337,0.005642,,,
13,0.033432,0.999724,0.999999,65543.710938,0.01553649,0.12548149,0.858982,0.001508,0.761822,0.003524,0.000551,-0.000338,0.005646,,,
14,0.030633,0.999703,0.999999,65542.460938,0.015533764,0.12548201,0.85898423,0.001565,0.720931,0.002591,0.000544,-0.000338,0.005650,,,
15,0.027996,0.999682,0.999999,65541.156250,0.01553221,0.12548241,0.85898536,0.001558,0.726091,0.003108,0.000589,-0.000336,0.005659,,,
16,0.025796,0.999661,0.999999,65539.851562,0.015532636,0.12548263,0.85898477,0.001596,0.698145,0.003368,0.000590,-0.000332,0.005678,,,
17,0.023994,0.999639,0.999999,65538.570312,0.015535506,0.1254826,0.85898185,0.001583,0.707756,0.002164,0.000591,-0.000325,0.005706,,,
18,0.022243,0.999617,0.999999,65537.382812,0.015540962,0.12548232,0.8589767,0.001570,0.717177,0.004609,0.000562,-0.000316,0.005742,,,
19,0.020676,0.999594,0.999999,65536.304688,0.015548855,0.12548183,0.8589694,0.001623,0.677861,0.003621,0.000551,-0.000305,0.005787,,,
20,0.019390,0.999572,0.999999,65535.375000,0.015558801,0.12548108,0.8589601,0.001619,0.680802,0.002712,0.000566,-0.000293,0.005838,20.618928,0.54185134,0.220415
21,0.018333,0.999549,0.999999,65534.578125,0.01557029,0.12548013,0.85894954,0.001599,0.695389,0.003274,0.000582,-0.000280,0.005905,,,
22,0.017614,0.999526,0.999999,65533.921875,0.015582815,0.12547904,0.8589381,0.001582,0.708204,0.004026,0.000556,-0.000266,0.005975,,,
23,0.017259,0.999504,0.999999,65533.375000,0.015595913,0.12547787,0.85892624,0.001569,0.717733,0.002924,0.000563,-0.000252,0.006046,,,
24,0.017155,0.999482,0.999999,65532.937500,0.015609229,0.12547664,0.8589141,0.001558,0.725538,0.003410,0.000555,-0.000238,0.006117,,,
25,0.017122,0.999461,0.999999,65532.593750,0.015622516,0.12547542,0.85890204,0.001557,0.726691,0.002485,0.000572,-0.000224,0.006186,,,
26,0.017021,0.999439,0.999999,65532.312500,0.015635597,0.12547421,0.8588902,0.001565,0.720430,0.003032,0.000584,-0.000211,0.006255,,,
27,0.016782,0.999419,0.999999,65532.101562,0.015648304,0.12547304,0.8588786,0.001559,0.725392,0.004248,0.000575,-0.000199,0.006326,,,
28,0.016399,0.999398,0.999999,65531.921875,0.015660468,0.1254719,0.85886765,0.001574,0.713711,0.003063,0.000581,-0.000187,0.006408,,,
29,0.015890,0.999378,1.000000,65531.781250,0.015671855,0.12547079,0.85885733,0.001545,0.735415,0.002753,0.000594,-0.000177,0.006485,,,
